StartDate,StartdateFiscalPeriodLong,StartDateFiscalYear,num visits
2010-04-01,2011-01,10/11,185
2010-04-02,2011-01,10/11,210
2010-04-03,2011-01,10/11,214
2010-04-04,2011-01,10/11,242
2010-04-05,2011-01,10/11,207
2010-04-06,2011-01,10/11,196
2010-04-07,2011-01,10/11,216
2010-04-08,2011-01,10/11,207
2010-04-09,2011-01,10/11,200
2010-04-10,2011-01,10/11,213
2010-04-11,2011-01,10/11,210
2010-04-12,2011-01,10/11,227
2010-04-13,2011-01,10/11,189
2010-04-14,2011-01,10/11,208
2010-04-15,2011-01,10/11,191
2010-04-16,2011-01,10/11,224
2010-04-17,2011-01,10/11,188
2010-04-18,2011-01,10/11,208
2010-04-19,2011-01,10/11,220
2010-04-20,2011-01,10/11,200
2010-04-21,2011-01,10/11,171
2010-04-22,2011-01,10/11,196
2010-04-23,2011-01,10/11,201
2010-04-24,2011-01,10/11,203
2010-04-25,2011-01,10/11,192
2010-04-26,2011-01,10/11,215
2010-04-27,2011-01,10/11,208
2010-04-28,2011-01,10/11,202
2010-04-29,2011-01,10/11,214
2010-04-30,2011-02,10/11,192
2010-05-01,2011-02,10/11,199
2010-05-02,2011-02,10/11,227
2010-05-03,2011-02,10/11,213
2010-05-04,2011-02,10/11,211
2010-05-05,2011-02,10/11,202
2010-05-06,2011-02,10/11,210
2010-05-07,2011-02,10/11,187
2010-05-08,2011-02,10/11,205
2010-05-09,2011-02,10/11,187
2010-05-10,2011-02,10/11,218
2010-05-11,2011-02,10/11,206
2010-05-12,2011-02,10/11,208
2010-05-13,2011-02,10/11,193
2010-05-14,2011-02,10/11,197
2010-05-15,2011-02,10/11,199
2010-05-16,2011-02,10/11,216
2010-05-17,2011-02,10/11,218
2010-05-18,2011-02,10/11,216
2010-05-19,2011-02,10/11,208
2010-05-20,2011-02,10/11,191
2010-05-21,2011-02,10/11,202
2010-05-22,2011-02,10/11,197
2010-05-23,2011-02,10/11,192
2010-05-24,2011-02,10/11,224
2010-05-25,2011-02,10/11,222
2010-05-26,2011-02,10/11,191
2010-05-27,2011-02,10/11,190
2010-05-28,2011-03,10/11,201
2010-05-29,2011-03,10/11,173
2010-05-30,2011-03,10/11,183
2010-05-31,2011-03,10/11,220
2010-06-01,2011-03,10/11,218
2010-06-02,2011-03,10/11,190
2010-06-03,2011-03,10/11,228
2010-06-04,2011-03,10/11,216
2010-06-05,2011-03,10/11,199
2010-06-06,2011-03,10/11,211
2010-06-07,2011-03,10/11,210
2010-06-08,2011-03,10/11,218
2010-06-09,2011-03,10/11,185
2010-06-10,2011-03,10/11,174
2010-06-11,2011-03,10/11,208
2010-06-12,2011-03,10/11,206
2010-06-13,2011-03,10/11,234
2010-06-14,2011-03,10/11,208
2010-06-15,2011-03,10/11,218
2010-06-16,2011-03,10/11,198
2010-06-17,2011-03,10/11,194
2010-06-18,2011-03,10/11,174
2010-06-19,2011-03,10/11,179
2010-06-20,2011-03,10/11,193
2010-06-21,2011-03,10/11,235
2010-06-22,2011-03,10/11,220
2010-06-23,2011-03,10/11,214
2010-06-24,2011-03,10/11,207
2010-06-25,2011-04,10/11,232
2010-06-26,2011-04,10/11,215
2010-06-27,2011-04,10/11,215
2010-06-28,2011-04,10/11,212
2010-06-29,2011-04,10/11,193
2010-06-30,2011-04,10/11,218
2010-07-01,2011-04,10/11,194
2010-07-02,2011-04,10/11,193
2010-07-03,2011-04,10/11,200
2010-07-04,2011-04,10/11,194
2010-07-05,2011-04,10/11,220
2010-07-06,2011-04,10/11,219
2010-07-07,2011-04,10/11,212
2010-07-08,2011-04,10/11,212
2010-07-09,2011-04,10/11,222
2010-07-10,2011-04,10/11,226
2010-07-11,2011-04,10/11,244
2010-07-12,2011-04,10/11,229
2010-07-13,2011-04,10/11,226
2010-07-14,2011-04,10/11,222
2010-07-15,2011-04,10/11,235
2010-07-16,2011-04,10/11,217
2010-07-17,2011-04,10/11,198
2010-07-18,2011-04,10/11,215
2010-07-19,2011-04,10/11,235
2010-07-20,2011-04,10/11,244
2010-07-21,2011-04,10/11,189
2010-07-22,2011-04,10/11,218
2010-07-23,2011-05,10/11,226
2010-07-24,2011-05,10/11,204
2010-07-25,2011-05,10/11,235
2010-07-26,2011-05,10/11,241
2010-07-27,2011-05,10/11,228
2010-07-28,2011-05,10/11,222
2010-07-29,2011-05,10/11,205
2010-07-30,2011-05,10/11,229
2010-07-31,2011-05,10/11,225
2010-08-01,2011-05,10/11,201
2010-08-02,2011-05,10/11,210
2010-08-03,2011-05,10/11,232
2010-08-04,2011-05,10/11,235
2010-08-05,2011-05,10/11,228
2010-08-06,2011-05,10/11,206
2010-08-07,2011-05,10/11,197
2010-08-08,2011-05,10/11,213
2010-08-09,2011-05,10/11,237
2010-08-10,2011-05,10/11,232
2010-08-11,2011-05,10/11,213
2010-08-12,2011-05,10/11,221
2010-08-13,2011-05,10/11,222
2010-08-14,2011-05,10/11,220
2010-08-15,2011-05,10/11,234
2010-08-16,2011-05,10/11,222
2010-08-17,2011-05,10/11,207
2010-08-18,2011-05,10/11,231
2010-08-19,2011-05,10/11,216
2010-08-20,2011-06,10/11,221
2010-08-21,2011-06,10/11,229
