"Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",206.750678292583,3.63362554111571,56.8992803339608,1.15929934969964e-98
"day.of.weekMonday",5.42833461248712,4.15223770423429,1.30732751811186,0.193244497516745
"day.of.weekSaturday",-5.67705568670995,4.14913937538905,-1.36824897239747,0.173426044626012
"day.of.weekSunday",-0.904328413982676,4.14913937538905,-0.217955660720094,0.827781021078562
"day.of.weekThursday",-3.43863081410331,4.19639841298802,-0.819424295715253,0.41393716071233
"day.of.weekTuesday",-5.66336833928961,4.19963351016326,-1.34853870595709,0.179662672947077
"day.of.weekWednesday",-3.96244033791284,4.19639841298802,-0.944247887819452,0.346669708300372
"month.fyearFeb-10/11",3.9589629902047,3.58729463796758,1.10360686526928,0.271657028922219
"month.fyearJan-10/11",7.89522510761901,3.50059413971023,2.25539573927086,0.0256595336757203
"month.fyearNov-10/11",-7.2805119710877,3.52830652358157,-2.06345790039162,0.0409162862890649
"month.fyearOct-10/11",-0.961925388752379,3.49802281128683,-0.274991170911922,0.78372843198261
"Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",228.376013197978,4.23239379700593,53.9590652834655,4.8707463291903e-96
"day.of.weekMonday",3.20125489648643,4.84258005302321,0.661063908378323,0.509650041863598
"day.of.weekSaturday",-14.1038938870177,4.83893390698618,-2.91466966859276,0.00414276513959524
"day.of.weekSunday",1.83761853285006,4.84258005302321,0.379470966453687,0.704909060513044
"day.of.weekThursday",-1.76190476190476,4.89342888123718,-0.360055250554558,0.719344568308105
"day.of.weekTuesday",-2.79320172845178,4.84261561515918,-0.576796085096663,0.564996931430937
"day.of.weekWednesday",-5.32752567405792,4.84268673816707,-1.10011775737416,0.273155490309348
"month.fyearFeb-11/12",-1.95814643375549,4.10174314161303,-0.477393724119312,0.633820950819183
"month.fyearJan-11/12",-5.71327323709055,4.03659256783467,-1.4153703008365,0.159164867386486
"month.fyearNov-11/12",-12.2123019349478,4.06845479529952,-3.00170520489924,0.00317635397947587
"month.fyearOct-11/12",-11.0903476835884,4.03362752986542,-2.74947242933917,0.0067513459987724
"Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",229.928087221809,4.4149199155837,52.0797866367209,1.60001986667738e-93
"day.of.weekMonday",7.78936766251811,4.94361185887974,1.57564304902433,0.117365148442668
"day.of.weekSaturday",-4.04783978430221,4.99934622247539,-0.809673826170405,0.419501685745787
"day.of.weekSunday",-4.42879216525459,4.99934622247539,-0.885874265987864,0.377204380681804
"day.of.weekThursday",4.37988704516237,4.93980474542117,0.886651855869851,0.376786919613591
"day.of.weekTuesday",-2.01583223678274,4.94360937685056,-0.407765274947142,0.684068896239126
"day.of.weekWednesday",-6.19765041860092,4.94360937685056,-1.25366912030361,0.21205175922537
"month.fyearFeb-12/13",-1.53225009362899,4.22279522025788,-0.362852095284748,0.717262608939004
"month.fyearJan-12/13",-3.28560221538121,4.12073545472868,-0.797333935040861,0.426607336031492
"month.fyearNov-12/13",-4.0046354703464,4.15335717498418,-0.964192411494601,0.336611983623262
